name,artist,release_date,popularity,id
Me & U,Cassie,2006-08-07,79,7k6IzwMGpxnRghE7YosnXT
Face Down,The Red Jumpsuit Apparatus,2006-01-01,77,4wzjNqjKAKDU82e8uMhzmr
Smack That,Akon,2006-01-01,84,2kQuhkFX7uSVepCD3h29g5
Cherry Waves,Deftones,2006-10-25,76,70L6nHORQsblY813yNqUR3
The Sweet Escape,Gwen Stefani,2006-01-01,74,66ZcOcouenzZEnzTJvoFmH
Put Your Records On,Corinne Bailey Rae,2006-01-01,80,2nGFzvICaeEWjIrBrL2RAx
Chasing Cars,Snow Patrol,2006-01-01,82,5hnyJvgoWiQUYZttV4wXy6
Animal I Have Become,Three Days Grace,2006-06-25,75,56sk7jBpZV0CD31G9hEU3b
When You Were Young,The Killers,2006-09-27,78,70wYA8oYHoMzhRRkARoMhU
Crazy,Gnarls Barkley,2006-05-02,74,2N5zMZX7YeL1tico8oQxa9
Glamorous,Fergie,2006-09-13,72,4KTtYhxFtFL7mBwnjkKfLm
The Diary of Jane - Single Version,Breaking Benjamin,2006-01-01,75,0faXHILILebCGnJBPU6KJJ
Welcome to the Black Parade,My Chemical Romance,2006-10-23,78,5wQnmLuC1W7ATsArWACrgW
Picture To Burn,Taylor Swift,2006-10-24,71,32mVHdy0bi1XKgr0ajsBlG
SexyBack (feat. Timbaland),Justin Timberlake,2006-09-12,80,0O45fw2L5vsWpdsOdXwNAR
Dani California,Red Hot Chili Peppers,2006-05-09,78,10Nmj3JCNoMeBQ87uw5j8k
So Sick,Ne-Yo,2006-01-01,80,6brl7bwOHmGFkNw3MBqssT
Say It Right,Nelly Furtado,2006-01-01,82,2aI21FnmY7TJVKeMaoQZ0t
SOS,Rihanna,2006-04-10,77,30cSNer6TV8x2utjULVeQ5
Miss Murder,AFI,2006-06-06,73,0Ti2dlF2xLjXblvdU5fCxM
Fergalicious,Fergie,2006-09-13,70,1D066zixBwqFYqBhKgdPzp
Snow (Hey Oh),Red Hot Chili Peppers,2006-05-09,80,2aibwv5hGXSgw7Yru8IYTO
Supermassive Black Hole,Muse,2006-06-19,79,3lPr8ghNDBLc2uZovNyLs9
My Love (feat. T.I.),Justin Timberlake,2006-09-13,76,4NeOWqHmlrGRuBvsLJC9rL
Waiting On the World to Change,John Mayer,2006-09-11,75,5imShWWzwqfAJ9gXFpGAQh
All Around Me,Flyleaf,2006-01-01,69,1zN6ynJG4PdR61YWv4PQ3Y
I'm So Sick,Flyleaf,2006-01-01,69,3FP8A246XpuafFofRhDlWG
Life is a Highway,Rascal Flatts,2006-01-01,76,5gB2IrxOCX2j9bMnHKP38i
Riot,Three Days Grace,2006-06-25,71,1Q2fYlSdwuutWj3QplhY9q
Would You Go With Me,Josh Turner,2006,71,1KhrAWvLIjRlQIJtSTgvsi
MakeDamnSure,Taking Back Sunday,2006-04-25,70,6fTgbkBiMITtHUmik95ClX
Life is a Highway,Rascal Flatts,2006-01-01,75,2Fs18NaCDuluPG1DHGw1XG
What Hurts The Most,Rascal Flatts,2006-01-01,70,4bVuIlGQBMWS7vIhcx8Ae4
When I See U,Fantasia,2006-12-09,72,4iuNZTcvT9diFySSzVsnVS
Young Folks,Peter Bjorn and John,2006-01-01,77,4dyx5SzxPPaD8xQIid5Wjj
Never Too Late,Three Days Grace,2006-06-25,70,3HE50TVRquwXe9yv2HFoNL
Prayer Of The Refugee,Rise Against,2006-01-01,69,4OSbctVD37ycS0H3rwRm72
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,68,7zMcNqs55Mxer82bvZFkpg
Upside Down,Jack Johnson,2006-02-24,75,0aJrYfARfCKzv6gXjhs4SZ
Should've Said No,Taylor Swift,2006-10-24,68,16MVSD0mGI4RMQT83Qzm69
Salió El Sol,Don Omar,2006-01-01,79,48NXpYRuvv9izul4oXhqS9
Who Knew,P!nk,2006-04-04,76,2hns6Dv29Yrg68AVTJiAyA
Your Man,Josh Turner,2006,74,1WzAeadSKJhqykZFbJNmQv
Slow Dancing in a Burning Room,John Mayer,2006-09-11,74,2jdAk8ATWIL3dwT47XpRfu
The Power Of Love,Huey Lewis & The News,2006-01-01,76,2olVm1lHicpveMAo4AUDRB
Tim McGraw,Taylor Swift,2006-10-24,67,0Om9WAB5RS09L80DyOfTNa
Flashing Lights,Kanye West,2007-09-11,87,5TRPicyLGbAF2LGBFbHGvO
505,Arctic Monkeys,2007-04-24,81,58ge6dfP91o9oXMzq3XkIS
I Wonder,Kanye West,2007-09-11,86,7rbECVPkY5UODxoOUVKZnA
Misery Business,Paramore,2007-06-11,76,6SpLc7EXZIPpy0sVko0aoU
Homecoming,Kanye West,2007-09-11,82,4iz9lGMjU1lXS51oPmUmTe
Stronger,Kanye West,2007-09-11,83,0j2T0R9dR9qdJYsB7ciXhf
Can't Tell Me Nothing,Kanye West,2007-09-11,81,0mEdbdeRFQwBhN4xfyIeUM
The Way I Are,Timbaland,2007-01-01,83,2bLqfJjuC5syrsgDsZfGmn
Thnks fr th Mmrs,Fall Out Boy,2007-01-01,80,3Zwu2K0Qa5sT6teCCHPShP
Paralyzer,Finger Eleven,2007-01-01,76,28IEbk5a7twNTbUEvWslUb
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,2007-06-05,77,1tkMs9wDPknQ3ZHcKDw1ES
Fake It,Seether,2007-01-01,76,4eAwB5pnKFTmsgc3zWoYO0
Umbrella,Rihanna,2007-01-01,73,2yPoXCs7BSIUrucMdK5PzV
Electric Feel,MGMT,2007-12-14,78,3FtYbEfBqAlGO46NUDQSAt
"Dear Maria, Count Me In",All Time Low,2007-09-25,77,0JJP0IS4w0fJx01EcrfkDe
Good Life,Kanye West,2007-09-11,77,4ZPdLEztrlZqbJkgHNw54L
Paper Planes,M.I.A.,2007-08-20,78,1ixbwbeBi5ufN4noUKmW5a
Beautiful Girls,Sean Kingston,2007-07-23,79,1hGy2eLcmC8eKx7qr1tOqx
Fluorescent Adolescent,Arctic Monkeys,2007-04-24,72,7e8utCy2JlSB8dRHKi49xM
Bleed It Out,Linkin Park,2007-05-14,79,0UFDKFqW2oGspYeYqo9wjA
What I've Done,Linkin Park,2007-05-14,81,18lR4BzEs7e3qzc0KVkTpU
You,Lloyd,2007-01-01,74,5Y77SQxEr1eiofPeUTPHxM
Crank That (Soulja Boy),Soulja Boy,2007-01-01,77,66TRwr5uJwPt15mfFkzhbi
The Pretender,Foo Fighters,2007-09-25,80,7x8dCjCr0x6x2lXKujYD34
Gimme More,Britney Spears,2007-10-25,81,6ic8OlLUNEATToEFU3xmaH
Bartender (feat. Akon),T-Pain,2007-06-05,74,1RGIjMFMgJxkZHMDXVYzOJ
Kids,MGMT,2007-12-14,78,1jJci4qxiYcOHhQR247rEU
Don't Stop The Music,Rihanna,2007-01-01,70,1Jo0Zg7XlrA6z0mFTZVdkn
All Summer Long,Kid Rock,2007-10-09,74,5rX6C5QVvvZB7XckETNych
Everything I Am,Kanye West,2007-09-11,75,0NrtwAmRAdLxua31SzHvXr
Apologize,OneRepublic,2007-01-01,71,1NrJYpdAi7uosDRPmSYrsG
Champion,Kanye West,2007-09-11,74,4UQMOPSUVJVicIQzjAcRRZ
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,2007-04-16,78,6kopmMZiyLmw7h66uXcXR7
That's What You Get,Paramore,2007-06-11,68,1JdKrFyoU05abww0Zv0ayQ
Good Morning,Kanye West,2007-09-11,74,6MXXY2eiWkpDCezVCc0cMH
Verbatim,Mother Mother,2007-05-08,76,266Vb7ItE3o1q8HdJ9QOvn
Bleeding Love,Leona Lewis,2007,77,7wZUrN8oemZfsEd1CGkbXE
Pocketful of Sunshine,Natasha Bedingfield,2007-04-27,72,1uigwk5hNV84zRd5YQQRTk
Bubbly,Colbie Caillat,2007-01-01,69,0rFOs9paloAvEtzwDX1Kmc
Love Song,Sara Bareilles,2007-07-03,74,4E6cwWJWZw2zWf7VFbH7wf
Girlfriend,Avril Lavigne,2007-04-17,76,45hOioMDJktr86iKDHC8gr
Jigsaw Falling Into Place,Radiohead,2007-12-28,75,0YJ9FWWHn9EfnN0lHwbzvV
Because Of You,Ne-Yo,2007-01-01,76,6CFPFnS9EcLs2I0nWqtWci
"Check Yes, Juliet",We The Kings,2007-10-07,69,0wVluBsVAVzBKrqspuCcwR
Weird Fishes/ Arpeggi,Radiohead,2007-12-28,73,4wajJ1o7jWIg62YqpkHC7S
Let It Go,Keyshia Cole,2007-01-01,67,2RqZFOLOnzVmHUX7ZMcaES
Time to Pretend,MGMT,2007-12-14,73,4iG2gAwKXsOcijVaVXzRPW
Given Up,Linkin Park,2007-05-14,76,1fLlRApgzxWweF1JTf8yM5
Gunpowder & Lead,Miranda Lambert,2007-05-01,67,3z1PqYwMtct2Dm4R9lhWnT
Come On Get Higher,Matt Nathanson,2007-01-01,69,38YgZVHPWOWsKrsCXz6JyP
Heartless,Kanye West,2008-11-24,87,4EWCNWgDS8707fNSZ1oaA5
Viva La Vida,Coldplay,2008-05-26,87,1mea3bSkSGXuIRvnydlB5b
Chicken Fried,Zac Brown Band,2008-11-17,80,0LQtEJt7x0s6knb6RKdRYc
"You're Gonna Go Far, Kid",The Offspring,2008-06-17,83,6TfBA04WJ3X1d1wXhaCFVT
Poker Face,Lady Gaga,2008-01-01,78,5R8dQOPq8haW94K7mgERlO
Sex on Fire,Kings of Leon,2008-09-23,83,0ntQJM78wzOLVeCUAW7Y45
Walking On A Dream,Empire of the Sun,2008-10-03,81,5r5cp9IpziiIsR6b93vcnQ
Kiss Me Thru The Phone,Soulja Boy,2008-01-01,79,2q4rjDy9WhaN3o9MvDbO21
Just Dance,Lady Gaga,2008-01-01,76,2x7MyWybabEz6Y6wvHuwGE
Low (feat. T-Pain),Flo Rida,2008-03-17,82,0CAfXk7DXMnon4gLudAp7J
Sextape,Deftones,2008,77,1EryAkZ0VHstC6haIxVBiE
I'm Yours,Jason Mraz,2008-05-12,81,1EzrEOXmMH3G43AXT1y7pA
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,2008-05-20,74,3dmqIB2Qxe2XZobw9gXxJ6
Disturbia,Rihanna,2008-06-02,79,2VOomzT6VavJOGBeySqaMc
Savior,Rise Against,2008-01-01,78,1vcxF91pWs9uNwDROuiCPB
Toes,Zac Brown Band,2008-11-17,74,4S518ci8UY4op0Xyp6Hx6o
Gives You Hell,The All-American Rejects,2008-01-01,72,6ihL9TjfRjadfEePzXXyVF
Billie Jean,Michael Jackson,2008-02-08,82,5ChkMS8OtdzJeqyybCc9R5
Whatever You Like,T.I.,2008-09-07,75,1IAzD1muglOxOcPbUHs70R
Hot N Cold,Katy Perry,2008-06-17,72,1y4eb6hmAvsqlDOl3fx9kk
Paparazzi,Lady Gaga,2008-01-01,73,7Hqig8kp32q2Ire3ECQvWM
Umbrella,Rihanna,2008-06-02,85,49FYlytm3dAAraYgpoJZux
Miss Independent,Ne-Yo,2008-01-01,78,34ceTg8ChN5HjrqiIYCn9Q
You Belong With Me,Taylor Swift,2008-11-11,71,3GCL1PydwsLodcpv0Ll1ch
A-Punk,Vampire Weekend,2008-01-29,70,3AydAydLzyyZutA0375XIz
Burn It to the Ground,Nickelback,2008-10-28,75,1jq28NGw6wdtFKx8MBPy6C
Use Somebody,Kings of Leon,2008-09-23,78,5VGlqQANWDKJFl0MBG3sg2
Forever,Chris Brown,2008-04-29,78,3NZJlJemX3mzjf56MqC5ML
So What,P!nk,2008-10-24,78,0JiY190vktuhSGN6aqJdrt
American Boy,Estelle,2008-03-28,78,6etwirSInfuJrSOlogS6Sh
Make You Feel My Love,Adele,2008-01-28,74,5FgPwJ7Nh2FVmIXviKl2VF
I Kissed A Girl,Katy Perry,2008-06-17,70,005lwxGU1tms6HGELIcUv9
Decode,Paramore,2008-11-04,74,1ZLtE9tSJdaUiIJ9YoKHQe
In Color,Jamey Johnson,2008-01-01,70,7CNd7rjfVt74TFlcOcnZgN
Love Story,Taylor Swift,2008-11-11,70,1vrd6UOGamcKNGnSHJQlSt
Skinny Love,Bon Iver,2008-02-19,73,3B3eOgLJSqPEA0RfboIQVM
A Milli,Lil Wayne,2008-06-10,71,6ScJMrlpiLfZUGtWp4QIVt
Alright,Darius Rucker,2008-01-01,71,5JlH51YDYsGj2dyEJKKjcN
Don't Stop The Music,Rihanna,2008-06-02,81,0ByMNEPAPpOR5H69DVrTNy
Burnin' Up,Jonas Brothers,2008-08-12,73,2VEsmoek0sol9MnJFyoG9e
Addicted,Saving Abel,2008-01-01,70,3pxCXv0NACYfYnLjFcQW5D
Circus,Britney Spears,2008-12-02,76,7jk7gqyEonmVVYahZN5zhW
Chasing Pavements,Adele,2008-01-28,72,56pHllZT7QOacB0bP56ofx
Womanizer,Britney Spears,2008-12-02,77,4fixebDZAVToLbUCuEloa2
Second Chance,Shinedown,2008-06-24,70,0CwYG1UnRmOx8Q1EzElCIL
LoveGame,Lady Gaga,2008-01-01,71,0TcJ7QWpggdSg8t0fHThHm
White Winter Hymnal,Fleet Foxes,2008-06-03,70,0GegHVxeozw3rdjte45Bfx
Lollipop,Lil Wayne,2008-06-10,72,4P7VFiaZb3xrXoqGwZXC3J
Hayloft,Mother Mother,2008-09-23,75,2kS6td1yvmpNgZTt1q5pQq
Whatever It Is,Zac Brown Band,2008-11-17,69,33kKQSeqM2ecEcKF0LNSRT
Party In The U.S.A.,Miley Cyrus,2009-01-01,79,5Q0Nhxo0l2bP3pNjpGJwV1
Dog Days Are Over,Florence + The Machine,2009,78,1YLJVmuzeM2YSUkCCaTNUB
Best I Ever Had,Drake,2009,79,3QLjDkgLh9AOEHlhQtDuhs
Ain't No Rest for the Wicked,Cage The Elephant,2009-03-24,76,3Pzh926pXggbMe2ZpXyMV7
Rosyln,Bon Iver,2009-10-09,78,4k7x3QKrc3h3U0Viqk0uop
I Gotta Feeling,Black Eyed Peas,2009-01-01,76,2H1047e0oMSj10dgp7p2VG
Day 'N' Nite (nightmare),Kid Cudi,2009-01-01,74,5wfllwdjglyQislkskYLBv
All I Wanted,Paramore,2009-09-28,75,1Bv3h7Vc4AaYA2BcSM3rVd
Empire State Of Mind,JAY-Z,2009-09-08,83,2igwFfvr1OAGX9SKDCPBwO
Run This Town,JAY-Z,2009-09-08,80,7LR85XLWw2yXqKBSI5brbG
Bad Romance,Lady Gaga,2009-11-05,83,0SiywuOBRcynK0uKGWdCnn
Down,Jay Sean,2009-01-01,79,6cmm1LMvZdB5zsCwX5BjqE
Monster,Skillet,2009-08-21,79,2UREu1Y8CO4jXkbvqAtP7g
She's Country,Jason Aldean,2009-04-07,73,0PspNrE4MSjr1JeB4OW0jn
Fireflies,Owl City,2009-01-01,79,3DamFFqW32WihKkTVlwTYQ
Pursuit Of Happiness (Nightmare),Kid Cudi,2009-09-15,72,5iSEsR6NKjlC9SrIJkyL3k
Big Black Car,Gregory Alan Isakov,2009-01-01,76,3Kj2EWpIBnvETsYq4cq0IH
Replay,Iyaz,2009-08-11,73,5vlEg2fT4cFWAqU5QptIpQ
Little Lion Man,Mumford & Sons,2009-10-02,71,4B4vB3oB8csotplfoQcAd6
Pursuit Of Happiness (Nightmare),Kid Cudi,2009-01-01,71,6MtKObWYda2qnNIpJI21uD
Forever,Drake,2009-05-15,75,5UsLjwBaTHBX4ektWIr4XX
Neon Moon,Brooks & Dunn,2009-09-08,72,3EUl8M6SzxZl03NPkB8mUd
Little Bit (feat. Lykke Li),Drake,2009,73,524wvipGqxPKYWxkjf9y46
1901,Phoenix,2009-05-25,73,1Ug5wxoHthwxctyWTUMGta
Telephone,Lady Gaga,2009-08-05,72,7rl7ao5pb9BhvAzPdWStxi
Memories (feat. Kid Cudi),David Guetta,2009-08-21,69,4dTaAiV9xFFCxnPur9c9yL
The Cave,Mumford & Sons,2009-10-02,70,3vUn7FE3ZaQgJmkhIrIirF
I Will Not Bow,Breaking Benjamin,2009-01-01,71,2yXyz4NLTZx9CLdXfLTp5E
Obsessed,Mariah Carey,2009-09-29,69,3IcIIZMMS7UArJJPtEHXG8
Rude Boy,Rihanna,2009-11-20,79,60jzFy6Nn4M0iD1d94oteF
Secrets,OneRepublic,2009-01-01,77,1NhPKVLsHhFUHIOZ32QnS2
Boot Scootin' Boogie,Brooks & Dunn,2009-09-08,71,7Fq9RwQxSn3kW85PrDUf0M
Day 'N' Nite (nightmare),Kid Cudi,2009-09-15,69,5FEXPoPnzueFJQCPRIrC3c
BedRock,Young Money,2009-01-01,71,3iL2l5gUqyPS6vDwJFgJTR
Meet Me Halfway,Black Eyed Peas,2009-01-01,70,6wOYnPq1hPihRepcDClPUw
Fire Burning,Sean Kingston,2009-09-07,73,2oENJa1T33GJ0w8dC167G4
Hotel Room Service,Pitbull,2009-08-27,73,0OPyDgTRuIdCJ9B4bYSths
Beach Baby,Bon Iver,2009-01-20,73,2LXtyj95dK56ENS1QLt4IB
Big Green Tractor,Jason Aldean,2009-04-07,69,4KAzYqfcijCSZa2P3etHoM
Dile al Amor,Aventura,2009-06-09,77,2Bhmj4XK33InfhqKPxcJ1v
Sweet Disposition,The Temper Trap,2009-03-24,67,5RoIXwyTCdyUjpMMkk4uPd
The Only Exception,Paramore,2009-09-28,75,7JIuqL4ZqkpfGKQhYlrirs
Sexy Bitch (feat. Akon),David Guetta,2009-08-21,67,0uXO2GrNiIb1xHT9LUdxZE
Birthday Sex,Jeremih,2009-01-01,70,4NpDZPwSXmL0cCTaJuVrCw
Home - 2019 - Remaster,Edward Sharpe & The Magnetic Zeros,2009-07-07,71,7KWGfnsUU4Ri46TIvjpAPx
Bad Company,Five Finger Death Punch,2009-09-22,68,2KZXCH4npY28gtZKXcB2N8
Rain Is A Good Thing,Luke Bryan,2009-01-01,70,1YhFtqwcN138S6ng3MT1nN
She Wolf,Shakira,2009,76,4cS2HQ6jK80vqdY9ofpztx
Right Round,Flo Rida,2009-03-30,77,3GpbwCm3YxiWDvy29Uo3vP
You Found Me,The Fray,2009-02-02,74,4IoYz8XqqdowINzfRrFnhi
Sure Thing,Miguel,2010-11-26,88,0JXXNGljqupsJaZsgSbMZV
The Spins,Mac Miller,2010-08-13,82,7FAFkQQZFeNwOFzTrSDFIh
Just the Way You Are,Bruno Mars,2010-10-05,85,7BqBn9nzAq8spo5e7cZ0dJ
Girl With The Tattoo Enter.lewd,Miguel,2010-11-26,81,1eUGmzzvahJjOSWgDHuRlv
Duvet,bôa,2010-04-20,84,42qNWdLKCI41S4uzfamhFM
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,2010-10-01,78,03tqyYWC9Um2ZqU0ZN849H
Devil In A New Dress,Kanye West,2010-11-22,80,1UGD3lW3tDmgZfAVDh6w7r
Super Bass,Nicki Minaj,2010-11-22,81,3hlksXnvbKogFdPbpO9vel
Grenade,Bruno Mars,2010-10-05,79,2tJulUYLDKOg9XrtVkMgcJ
"Hey, Soul Sister",Train,2010-12-01,84,4HlFJV71xXKIGcU3kRyttv
Talking to the Moon,Bruno Mars,2010-10-05,82,161DnLWsx1i3u1JT05lzqU
Je te laisserai des mots,Patrick Watson,2010-09-10,85,0V5cvmTKsYmF5FmGGEAfmS
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,2010-09-20,76,60IGhnH20N82dNxKnc8jDd
TiK ToK,Kesha,2010-01-01,83,0HPD5WQqrq7wPWR7P7Dw1i
Last Friday Night (T.G.I.F.),Katy Perry,2010-01-01,76,3avYqdwHKEq8beXbeWCKqJ
Runaway,Kanye West,2010-11-22,80,3DK6m7It6Pw857FcQftMds
I Can't Handle Change,Roar,2010-03-14,80,0I1eFRytp4XRhLCjT6tZm7
Only Girl (In The World),Rihanna,2010-01-01,83,2ENexcMEMsYk0rVJigVD3i
Dirt Road Anthem,Jason Aldean,2010-11-02,75,2qYsSHsYkihWx043HVJQRV
All Of The Lights,Kanye West,2010-11-22,79,22L7bfCiAkJo5xGSQgmiIO
Love The Way You Lie,Eminem,2010-06-18,84,15JINEqzVMv3SvJTAXAKED
Where'd All the Time Go?,Dr. Dog,2010-11-02,79,0UV5zxRMz6AO4ZwUOZNIKI
Teenage Dream,Katy Perry,2010-01-01,74,5jzKL4BDMClWqRguW5qZvh
S&M,Rihanna,2010-01-01,81,7ySUcLPVX7KudhnmNcgY2D
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,2010-03-30,81,4356Typ82hUiFAynbLYbPn
Danza Kuduro,Don Omar,2010-01-01,81,2a1o6ZejUi8U3wzzOtCOYw
POWER,Kanye West,2010-11-22,79,2gZUPNdnz5Y45eiGxpHGSc
What You Know,Two Door Cinema Club,2010-02-17,75,3GBApU0NuzH4hKZq4NOSdA
Christmas Kids,Roar,2010-03-14,80,40gk32E7YaTFoQwDIWv2SY
Marry You,Bruno Mars,2010-10-05,77,22PMfvdz35fFKYnJyMn077
Baby,Justin Bieber,2010-01-01,82,6epn3r7S14KUqlReYr77hA
Enchanted,Taylor Swift,2010-10-25,73,10eBRyImhfqVvkiVEGf0N0
Over,Drake,2010-01-01,72,6BdgtqiV3oXNqBikezwdvC
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,2010,73,7LcfRTgAVTs5pQGEQgUEzN
Raise Your Glass,P!nk,2010-10-05,80,1gv4xPanImH17bKZ9rOveR
Fancy,Drake,2010-01-01,72,3fpTMuD1u3gJlVI4FadVHs
California Gurls,Katy Perry,2010-01-01,72,6KOEK6SeCEZOQkLj5M1PxH
Bottoms Up (feat. Nicki Minaj),Trey Songz,2010-09-14,73,4AYX69oFP3UOS1CFmV9UfO
Cooler Than Me - Single Mix,Mike Posner,2010-08-09,77,2V4bv1fNWfTcyRJKmej6Sj
All I Want Is You (feat. J. Cole),Miguel,2010-11-26,74,5VA4Ispp52EA1sOqzMz3Av
Mr. Rager,Kid Cudi,2010-01-01,72,2ncLdwTd8qzkxiJjlbiOgC
Animal,Neon Trees,2010-01-01,71,1fBl642IhJOE5U319Gy2Go
Es un Secreto,Plan B,2010-07-20,70,7JwdbqIpiuWvGbRryKSuBz
Nothin' on You (feat. Bruno Mars),B.o.B,2010-04-27,78,59dLtGBS26x7kc0rHbaPrq
Just Can’t Get Enough,Black Eyed Peas,2010-01-01,79,3JA9Jsuxr4xgHXEawAdCp4
The One That Got Away,Katy Perry,2010-01-01,73,6hkOqJ5mE093AQf2lbZnsG
Runaway Baby,Bruno Mars,2010-10-05,73,5MMLS3xm12D7N26xlfFApr
Not Afraid,Eminem,2010-06-18,80,7Ie9W94M7OjPoZVV216Xus
Like A G6,Far East Movement,2010-01-01,70,4DvhkX2ic4zWkQeWMwQ2qf
The Lazy Song,Bruno Mars,2010-10-05,75,1ExfPZEiahqhLyajhybFeS
